iter	Passed	Remaining
400	23766	35501
401	23822	35437
402	23881	35377
403	23950	35333
404	24004	35265
405	24063	35206
406	24123	35148
407	24172	35073
408	24227	35007
409	24282	34943
410	24338	34879
411	24407	34833
412	24469	34777
413	24524	34713
414	24579	34648
415	24651	34606
416	24701	34534
417	24755	34468
418	24813	34407
419	24872	34347
420	24915	34266
421	24949	34173
422	24983	34079
423	25035	34010
424	25089	33944
425	25127	33856
426	25183	33794
427	25248	33743
428	25312	33691
429	25370	33631
430	25422	33562
431	25470	33488
432	25521	33419
433	25586	33368
434	25643	33307
435	25703	33249
436	25774	33206
437	25830	33142
438	25886	33080
439	25939	33013
440	26012	32972
441	26061	32901
442	26115	32835
443	26156	32755
444	26209	32688
445	26268	32630
446	26325	32568
447	26384	32509
448	26420	32422
449	26486	32372
450	26546	32315
451	26600	32250
452	26663	32196
453	26731	32148
454	26786	32085
455	26840	32020
456	26893	31954
457	26958	31902
458	27019	31846
459	27058	31764
460	27115	31703
461	27172	31642
462	27230	31582
463	27290	31524
464	27346	31463
465	27386	31382
466	27433	31310
467	27486	31245
468	27543	31185
469	27607	31131
470	27662	31068
471	27710	30998
472	27771	30942
473	27812	30863
474	27875	30809
475	27928	30744
476	27984	30683
477	28040	30621
478	28104	30568
479	28164	30511
480	28217	30447
481	28276	30388
482	28343	30338
483	28399	30276
484	28451	30211
485	28515	30158
486	28560	30084
487	28611	30018
488	28651	29940
489	28708	29880
490	28745	29798
491	28807	29744
492	28865	29685
493	28903	29606
494	28943	29528
495	29001	29469
496	29062	29413
497	29123	29357
498	29179	29296
499	29241	29241
500	29310	29193
501	29363	29129
502	29420	29069
503	29471	29004
504	29538	28953
505	29601	28899
506	29641	28823
507	29682	28747
508	29733	28681
509	29784	28616
510	29837	28553
511	29871	28471
512	29937	28420
513	29990	28357
514	30061	28310
515	30114	28247
516	30175	28190
517	30232	28131
518	30296	28077
519	30356	28021
520	30419	27967
521	30478	27909
522	30546	27859
523	30602	27798
524	30662	27742
525	30718	27681
526	30774	27621
527	30830	27560
528	30873	27488
529	30933	27431
530	30994	27375
531	31057	27321
532	31100	27249
533	31152	27185
534	31198	27116
535	31259	27060
536	31316	27000
537	31378	26946
538	31440	26890
539	31509	26841
540	31568	26783
541	31611	26712
542	31676	26659
543	31729	26596
544	31787	26538
545	31846	26480
546	31913	26428
547	31973	26372
548	32037	26318
549	32088	26254
550	32146	26195
551	32201	26134
552	32258	26074
553	32301	26004
554	32356	25943
555	32411	25882
556	32458	25815
557	32502	25745
558	32556	25683
559	32606	25619
560	32667	25563
561	32717	25498
562	32765	25432
563	32823	25374
564	32888	25321
565	32940	25258
566	32984	25189
567	33052	25138
568	33108	25078
569	33162	25017
570	33217	24956
571	33286	24906
572	33342	24846
573	33399	24787
574	33454	24727
575	33519	24674
576	33567	24608
577	33604	24534
578	33657	24473
579	33711	24411
580	33776	24358
581	33837	24302
582	33882	24235
583	33943	24179
584	34018	24132
585	34065	24066
586	34101	23992
587	34137	23919
588	34187	23855
589	34260	23807
590	34316	23748
591	34367	23686
592	34425	23627
593	34494	23577
594	34552	23518
595	34597	23451
596	34654	23393
597	34730	23347
598	34801	23297
599	34854	23236
600	34897	23168
601	34960	23113
602	35015	23053
603	35068	22991
604	35120	22930
605	35192	22880
606	35249	22822
607	35302	22760
608	35354	22699
609	35425	22648
610	35481	22589
611	35525	22522
612	35576	22459
613	35643	22407
614	35704	22351
615	35763	22293
616	35823	22237
617	35891	22185
618	35949	22127
619	36008	22069
620	36068	22013
621	36138	21961
622	36190	21900
623	36229	21830
624	36276	21765
625	36334	21707
626	36380	21642
627	36443	21587
628	36496	21526
629	36553	21468
630	36602	21404
631	36663	21348
632	36715	21286
633	36749	21215
634	36802	21154
635	36869	21101
636	36935	21048
637	36989	20987
638	37045	20928
639	37098	20867
640	37153	20808
641	37194	20740
642	37261	20687
643	37325	20633
644	37376	20571
645	37415	20503
646	37480	20449
647	37551	20398
648	37607	20339
649	37664	20280
650	37725	20224
651	37770	20159
652	37814	20094
653	37869	20034
654	37926	19976
655	37992	19923
656	38042	19860
657	38080	19792
658	38135	19733
659	38198	19677
660	38255	19619
661	38313	19561
662	38374	19505
663	38441	19452
664	38486	19387
665	38532	19324
666	38578	19260
667	38636	19202
668	38682	19138
669	38733	19077
670	38770	19009
671	38824	18950
672	38881	18891
673	38941	18835
674	38980	18768
675	39033	18708
676	39090	18650
677	39148	18592
678	39204	18534
679	39277	18483
680	39311	18414
681	39355	18350
682	39408	18290
683	39460	18230
684	39537	18181
685	39590	18121
686	39648	18064
687	39712	18009
688	39757	17945
689	39809	17885
690	39864	17826
691	39907	17762
692	39959	17702
693	40039	17654
694	40095	17595
695	40148	17536
696	40197	17474
697	40252	17416
698	40300	17353
699	40363	17298
700	40411	17237
701	40472	17180
702	40518	17117
703	40566	17056
704	40623	16998
705	40696	16947
706	40756	16890
707	40812	16832
708	40866	16772
709	40930	16718
710	40984	16659
711	41044	16602
712	41100	16544
713	41145	16481
714	41210	16426
715	41261	16366
716	41318	16308
717	41350	16240
718	41403	16181
719	41456	16122
720	41508	16062
721	41554	16000
722	41615	15944
723	41657	15880
724	41722	15825
725	41780	15768
726	41845	15713
727	41893	15652
728	41951	15595
729	42002	15535
730	42055	15476
731	42109	15417
732	42156	15355
733	42213	15298
734	42271	15240
735	42334	15185
736	42384	15125
737	42443	15067
738	42511	15014
739	42563	14954
740	42604	14891
741	42668	14836
742	42703	14770
743	42756	14711
744	42805	14651
745	42868	14596
746	42918	14535
747	42974	14477
748	43038	14422
749	43090	14363
750	43145	14305
751	43202	14247
752	43261	14190
753	43312	14131
754	43366	14072
755	43434	14018
756	43489	13960
757	43522	13895
758	43581	13838
759	43618	13774
760	43661	13712
761	43718	13654
762	43752	13590
763	43808	13532
764	43879	13479
765	43934	13421
766	44001	13366
767	44047	13306
768	44093	13245
769	44143	13185
770	44195	13126
771	44246	13067
772	44282	13004
773	44349	12949
774	44408	12892
775	44467	12836
776	44513	12775
777	44587	12722
778	44649	12667
779	44711	12610
780	44750	12548
781	44805	12490
782	44864	12433
783	44919	12375
784	44985	12320
785	45048	12265
786	45110	12208
787	45145	12145
788	45203	12088
789	45293	12039
790	45356	11984
791	45415	11927
792	45475	11870
793	45551	11818
794	45613	11762
795	45679	11706
796	45733	11648
797	45791	11591
798	45840	11531
799	45904	11476
800	45946	11414
801	46010	11359
802	46072	11302
803	46137	11247
804	46199	11191
805	46273	11137
806	46334	11081
807	46393	11024
808	46448	10966
809	46522	10912
810	46578	10855
811	46646	10799
812	46706	10743
813	46766	10686
814	46808	10625
815	46872	10569
816	46912	10507
817	47003	10457
818	47071	10402
819	47143	10348
820	47190	10288
821	47267	10235
822	47320	10177
823	47374	10118
824	47440	10063
825	47497	10005
826	47536	9944
827	47598	9887
828	47655	9830
829	47734	9776
830	47795	9720
831	47865	9665
832	47905	9604
833	47980	9550
834	48051	9495
835	48108	9437
836	48147	9376
837	48213	9320
838	48269	9262
839	48320	9203
840	48366	9144
841	48435	9088
842	48484	9029
843	48575	8978
844	48644	8923
845	48693	8863
846	48751	8806
847	48799	8747
848	48845	8687
849	48915	8632
850	48964	8573
851	48998	8511
852	49060	8454
853	49130	8399
854	49179	8340
855	49229	8281
856	49286	8224
857	49339	8165
858	49403	8109
859	49452	8050
860	49487	7989
861	49562	7934
862	49631	7878
863	49689	7821
864	49744	7763
865	49813	7707
866	49865	7649
867	49933	7593
868	49972	7533
869	50035	7476
870	50094	7419
871	50132	7358
872	50178	7299
873	50240	7242
874	50309	7187
875	50350	7127
876	50400	7068
877	50462	7011
878	50497	6951
879	50557	6894
880	50614	6836
881	50678	6780
882	50714	6719
883	50796	6665
884	50837	6605
885	50898	6548
886	50964	6492
887	51030	6436
888	51074	6377
889	51153	6322
890	51223	6266
891	51295	6210
892	51356	6153
893	51406	6095
894	51481	6039
895	51532	5981
896	51586	5923
897	51627	5864
898	51688	5807
899	51786	5754
900	51863	5698
901	51952	5644
902	52004	5586
903	52077	5530
904	52127	5471
905	52194	5415
906	52273	5359
907	52340	5303
908	52406	5246
909	52478	5190
910	52549	5133
911	52633	5078
912	52691	5020
913	52774	4965
914	52845	4909
915	52912	4852
916	52972	4794
917	53016	4735
918	53090	4679
919	53128	4619
920	53188	4562
921	53250	4504
922	53306	4447
923	53367	4389
924	53431	4332
925	53491	4274
926	53531	4215
927	53573	4156
928	53628	4098
929	53697	4041
930	53748	3983
931	53787	3924
932	53828	3865
933	53878	3807
934	53953	3750
935	53994	3691
936	54035	3633
937	54106	3576
938	54180	3519
939	54234	3461
940	54291	3404
941	54350	3346
942	54422	3289
943	54489	3232
944	54560	3175
945	54608	3117
946	54675	3059
947	54726	3001
948	54778	2943
949	54825	2885
950	54884	2827
951	54960	2771
952	55037	2714
953	55128	2658
954	55216	2601
955	55296	2545
956	55371	2487
957	55456	2431
958	55573	2375
959	55668	2319
960	55730	2261
961	55823	2205
962	55917	2148
963	56030	2092
964	56099	2034
965	56216	1978
966	56309	1921
967	56372	1863
968	56457	1806
969	56520	1748
970	56591	1690
971	56656	1632
972	56728	1574
973	56833	1517
974	56920	1459
975	57016	1402
976	57069	1343
977	57133	1285
978	57225	1227
979	57302	1169
980	57377	1111
981	57460	1053
982	57524	994
983	57592	936
984	57653	877
985	57712	819
986	57793	761
987	57867	702
988	57951	644
989	58030	586
990	58070	527
991	58108	468
992	58167	410
993	58233	351
994	58316	293
995	58392	234
996	58466	175
997	58548	117
998	58617	58
999	58691	0
